transaction_id,customer_id,timestamp,product_category,product_price,quantity,discount_pct,customer_age,is_returning_customer,device_type,region,payment_method,total_price,final_price,date
1,4174,2023-01-01 00:00:00,Electronics,32.034680179467095,5,5.0,,False,Mobile,South,Credit Card,160.17340089733548,152.1647308524687,2023-01-01
2,4507,2023-01-01 08:00:00,Electronics,147.5169139742147,1,10.0,21.0,False,Mobile,West,PayPal,147.5169139742147,132.76522257679324,2023-01-01
3,1860,2023-01-01 16:00:00,Clothing,89.37576795855878,2,0.0,40.0,True,Mobile,West,Bank Transfer,178.75153591711756,178.75153591711756,2023-01-01
4,2294,2023-01-02 00:00:00,Clothing,244.5255645894845,3,5.0,45.0,False,Mobile,West,Credit Card,733.5766937684535,696.8978590800308,2023-01-02
5,2130,2023-01-02 08:00:00,Electronics,272.4116620948151,1,15.0,39.0,False,Mobile,East,PayPal,272.4116620948151,231.54991278059282,2023-01-02
6,2095,2023-01-02 16:00:00,Clothing,25.673606955938908,3,0.0,44.0,True,Mobile,West,Credit Card,77.02082086781672,77.02082086781672,2023-01-02
7,4772,2023-01-03 00:00:00,Beauty,191.83690192639185,3,0.0,55.0,True,Mobile,North,Gift Card,575.5107057791755,575.5107057791755,2023-01-03
8,4092,2023-01-03 08:00:00,Sports,23.842631481079195,5,5.0,35.0,False,Desktop,East,Credit Card,119.21315740539598,113.25249953512618,2023-01-03
9,2638,2023-01-03 16:00:00,Clothing,65.75528638308111,2,10.0,33.0,True,Mobile,North,Credit Card,131.51057276616223,118.35951548954601,2023-01-03
10,3169,2023-01-04 00:00:00,Sports,98.15412780585682,6,15.0,24.0,False,Mobile,West,PayPal,588.9247668351409,500.58605180986973,2023-01-04
11,1466,2023-01-04 08:00:00,Clothing,36.028706739959624,2,5.0,18.0,True,Tablet,East,Credit Card,72.05741347991925,68.45454280592328,2023-01-04
12,2238,2023-01-04 16:00:00,Clothing,157.1657258356797,1,10.0,34.0,True,Desktop,North,Credit Card,157.1657258356797,141.44915325211173,2023-01-04
13,1330,2023-01-05 00:00:00,Electronics,20.838980032841633,4,10.0,29.0,False,Mobile,East,Bank Transfer,83.35592013136653,75.02032811822988,2023-01-05
14,2482,2023-01-05 08:00:00,Home,38.46431076297792,2,0.0,35.0,False,Desktop,North,PayPal,76.92862152595583,76.92862152595583,2023-01-05
15,3135,2023-01-05 16:00:00,Sports,106.93995836314653,4,10.0,30.0,True,Tablet,North,PayPal,427.7598334525861,384.9838501073275,2023-01-05
16,4444,2023-01-06 00:00:00,Home,145.31194991754018,5,0.0,25.0,True,Tablet,North,PayPal,726.5597495877009,726.5597495877009,2023-01-06
17,4171,2023-01-06 08:00:00,Clothing,268.4623922086238,1,0.0,31.0,False,Desktop,East,Gift Card,268.4623922086238,268.4623922086238,2023-01-06
18,3919,2023-01-06 16:00:00,Home,142.24649073120753,2,0.0,44.0,False,Desktop,North,Credit Card,284.49298146241506,284.49298146241506,2023-01-06
19,4735,2023-01-07 00:00:00,Electronics,131.40689403916667,3,0.0,31.0,False,Mobile,North,Credit Card,394.2206821175,394.2206821175,2023-01-07
20,1130,2023-01-07 08:00:00,Beauty,70.14383992007869,2,0.0,35.0,True,Desktop,South,Credit Card,140.28767984015738,140.28767984015738,2023-01-07
21,2685,2023-01-07 16:00:00,Clothing,20.128525110827603,5,0.0,63.0,False,Desktop,North,PayPal,100.64262555413802,100.64262555413802,2023-01-07
